X,Y,OBJECTID,COUNTY,LATITUDE,LONGITUDE,STATION,RAIL_LINE,MUN_LABEL,ATIS_ID,AMTRAK
585083.769,692562.4645,24,ESSEX,40.73425642,-74.16454408,Newark Penn Station,NEC / NJCL / RVL,Newark City,RAIL0107,Y
382317.769,668089.0804,25,HUNTERDON,40.666885,-74.895857,High Bridge,Raritan Valley Line,High Bridge Borough,RAIL0060,N
398945.6449,657102.0233,26,HUNTERDON,40.63691535,-74.83576307,Lebanon,Raritan Valley Line,Lebanon Borough,RAIL0068,N
416989.2646,649281.3011,27,HUNTERDON,40.61561788,-74.77065867,White House,Raritan Valley Line,Readington Township,RAIL0157,N
441085.6744,640625.3469,28,SOMERSET,40.59202749,-74.6837925,North Branch,Raritan Valley Line,Branchburg Township,RAIL0108,N
454800.0348,632938.6369,29,SOMERSET,40.57099484,-74.63436504,Raritan,Raritan Valley Line,Raritan Borough,RAIL0129,N
460462.8443,631137.8449,30,SOMERSET,40.56607341,-74.61397131,Somerville,Raritan Valley Line,Somerville Borough,RAIL0138,N
477750.2848,628877.2645,31,SOMERSET,40.55991252,-74.55173858,Bridgewater,Raritan Valley Line,Bridgewater Township,RAIL0024,N
483620.0671,629245.0117,32,SOMERSET,40.56092955,-74.53061208,Bound Brook,Raritan Valley Line,Bound Brook Borough,RAIL0021,N
502389.5266,640151.8744,33,MIDDLESEX,40.59086807,-74.46303809,Dunellen,Raritan Valley Line,Dunellen Borough,RAIL0036,N
514288.9706,650199.1844,34,UNION,40.61842707,-74.42015617,Plainfield,Raritan Valley Line,Plainfield City,RAIL0120,N
518925.2747,654113.1487,35,UNION,40.62915842,-74.40343882,Netherwood,Raritan Valley Line,Plainfield City,RAIL0102,N
523975.5529,658404.9347,36,UNION,40.64092299,-74.38522257,Fanwood,Raritan Valley Line,Fanwood Borough,RAIL0044,N
534403.6007,661529.0177,37,UNION,40.6494553,-74.34762441,Westfield,Raritan Valley Line,Westfield Town,RAIL0155,N
540724.9292,662673.9045,38,UNION,40.65256576,-74.32483369,Garwood,Raritan Valley Line,Garwood Borough,RAIL0047,N
546814.1454,663781.6792,39,UNION,40.65557127,-74.3028778,Cranford,Raritan Valley Line,Cranford Township,RAIL0032,N
446095.0237,687255.7714,40,SOMERSET,40.72005743,-74.66607101,Gladstone,Gladstone Branch/M&E,Peapack-Gladstone Borough,RAIL0049,N
448196.8078,683143.4492,41,SOMERSET,40.70877969,-74.65846127,Peapack,Gladstone Branch/M&E,Peapack-Gladstone Borough,RAIL0117,N
455024.597,674729.9913,42,SOMERSET,40.68571567,-74.63378539,Far Hills,Gladstone Branch/M&E,Far Hills Borough,RAIL0045,N
472435.4329,686047.6514,43,SOMERSET,40.71683871,-74.57103435,Bernardsville,Gladstone Branch/M&E,Bernardsville Borough,RAIL0018,N
476803.209,684065.0816,44,SOMERSET,40.71140512,-74.55527216,Basking Ridge,Gladstone Branch/M&E,Bernards Township,RAIL0012,N
478398.1562,674400.3158,45,SOMERSET,40.6848776,-74.54949888,Lyons,Gladstone Branch/M&E,Bernards Township,RAIL0076,N
485580.5733,670261.3103,46,MORRIS,40.67352404,-74.52359514,Millington,Gladstone Branch/M&E,Long Hill Township,RAIL0088,N
493850.7067,670643.9723,47,MORRIS,40.67457671,-74.49377807,Stirling,Gladstone Branch/M&E,Long Hill Township,RAIL0143,N
500919.147,671987.421,48,MORRIS,40.67826035,-74.46829152,Gillette,Gladstone Branch/M&E,Long Hill Township,RAIL0048,N
518959.4577,678108.9931,49,UNION,40.69502812,-74.4032205,Murray Hill,Gladstone Branch/M&E,New Providence Borough,RAIL0099,N
508023.9822,673474.7638,50,UNION,40.6823333,-74.44267059,Berkeley Heights,Gladstone Branch/M&E,Berkeley Heights Township,RAIL0017,N
523603.0163,684338.8999,51,UNION,40.71211414,-74.38644432,New Providence,Gladstone Branch/M&E,New Providence Borough,RAIL0104,N
531554.6313,685961.9285,52,UNION,40.71653761,-74.35774978,Summit,Morristown Line/M&E,Summit City,RAIL0145,N
540959.4288,689158.1006,53,ESSEX,40.72526434,-74.32379711,Short Hills,Morristown Line/M&E,Millburn Township,RAIL0136,N
546498.3599,689304.8063,54,ESSEX,40.72563482,-74.30381063,Millburn,Morristown Line/M&E,Millburn Township,RAIL0087,N
554366.0407,691336.4725,55,ESSEX,40.73116,-74.275404,Maplewood,Morristown Line/M&E,Maplewood Township,RAIL0081,N
558459.2317,696716.9861,56,ESSEX,40.7458998,-74.26058094,South Orange,Morristown Line/M&E,South Orange Village Township,RAIL0140,N
